Searching for りんご
charlotte	シャルロット(りんごなどの果実を入れたプディング)
cider	《おもに米》シードル(通例りんごジュースの意に用いる) / 《おもに英》りんご酒(=hard cider)(りんご汁を発酵させたもの)
codling	未熟な小さいりんご,料理用りんご / タラの幼魚
crabapple	野生のりんご
eating apple	(ジャム・パイなど料理用でなく)生で食べるりんご
greening	青りんご
marc	マーク(ぶどうやりんごのしぼりかすで作ったブランデー)
mull	〈酒・ワイン・りんご酒など〉‘を'香料・砂糖を入れて温める / ごたまぜ,混乱 / (…を)熟考する,思いを巡らす《+『over』+『名』》 / …‘を'熟考する《+『名』+『over』》
pip	(りんご・なしなどの)種 / 《the~》飼鳥の舌の伝染病・《英話》意気消沈 / (ラジオ・電話の時報,鳥の鳴き声などの)ピッ[という音]・ピッという電子音 / 《話》(さいころ・カード・ドミノのこまなどの)目,点 / ピップ(レーダーの映像板に光の点として現れる像) / 《英話》(英国陸軍士官の肩章につける階級を示す)星 / …‘を'打ち負かす / …‘を'落第させる;…‘に'落第する / …‘を'撃つ
scrumpy	強いりんご酒
sillabub,syllabub	シラバブ(ミルクまたはクリームにぶどう酒やりんご酒と甘味・香料を加えた料理)
waldorf salad	ワルドルフサラダ(セロリ・りんご・木の実をマヨネーズであえる)
